Periodo;FECHA;N.ASTO;CC;N.COMPR.;"NRO DE CTA";C.CTO.;A.NEGOC.;D/H;IMPORTE;"IMPORTE EXT"
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020520;;D;19.032,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020520J;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";050410;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040530;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040530;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040110;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;14.274,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020520;;D;19.032,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040550;;D;14.274,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020520;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";050410;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;14.274,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040110;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;19.032,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;19.032,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020550C;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040530;;D;23.790,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040520;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020210;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";070310;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040520C;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510J;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040530C;;D;14.274,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020110;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510J;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;14.274,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;14.274,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040520;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";080101;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";070310;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040520C;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;19.032,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040520;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020520C;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040530;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040520;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;23.790,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040530C;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020520C;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020550C;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040520;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020520C;;D;14.274,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;19.032,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;14.274,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020510C;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040530C;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;9.516,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040530C;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;4.758,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;4.758,00;
