Periodo;FECHA;N.ASTO;CC;N.COMPR.;"NRO DE CTA";C.CTO.;A.NEGOC.;D/H;IMPORTE;"IMPORTE EXT"
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;1.390,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;494,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;1.390,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;494,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020520;;D;1.976,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020520J;;D;494,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";050410;;D;1.390,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;494,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040530;;D;494,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040530;;D;494,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040110;;D;988,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;1.390,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;1.976,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;988,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040550;;D;1.482,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020520;;D;2.104,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;2.780,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";050410;;D;1.390,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";050410;;D;1.390,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;2.598,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;1.482,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040110;;D;494,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;2.470,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;494,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;2.780,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;4.390,00;
