Periodo;FECHA;N.ASTO;CC;N.COMPR.;"NRO DE CTA";C.CTO.;A.NEGOC.;D/H;IMPORTE;"IMPORTE EXT"
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020520;;D;12.460,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020520J;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";050410;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040530;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040530;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040110;;D;6.230,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;12.460,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020520;;D;12.460,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040550;;D;9.345,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020520;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;6.300,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";050410;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";050410;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;9.345,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;9.345,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040110;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;15.575,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;6.230,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;12.460,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;6.230,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020550C;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";070410C;;D;12.500,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040520C;;D;6.230,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040530;;D;15.575,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040520;;D;6.230,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020210;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";070310;;D;6.230,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510J;;D;6.230,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040530C;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020110;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;6.230,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510J;;D;6.230,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;6.230,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;6.230,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040520;;D;6.230,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";;;D;0,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";070310;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040520C;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;6.230,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;12.460,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040520;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020520C;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040530;;D;6.230,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040520;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;6.230,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040530C;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020520C;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020520C;;D;6.230,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040520;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020520C;;D;9.345,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510;;D;9.345,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;6.230,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040520C;;D;0,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";020510C;;D;0,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040530C;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;3.115,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040530C;;D;0,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;0,00;
abr-20;300420;0;0;0;"5000002000   ASIG.FAM";040510C;;D;0,00;
